date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-09-11 23:29:28,dhrxsol1234,,0,1,0,"Articles: Europe 's Refugee Crisis: Violence, Demands, and Muslim Conquest http://www. americanthinker.com/articles/2015/ 09/europes_refugee_crisis_violence_demands_and_muslim_conquest.html#.VfNjzmIEGhQ.twitter … #tcot",,,# #tcot,642480103843217408,https://twitter.com/dhrxsol1234/status/642480103843217408
2015-09-11 23:29:11,henson40,,0,0,0,"Mapping the Syrian refugee crisis across Europe : in pictures http://www. wired.co.uk/news/archive/2 015-09/11/europe-syria-refugee-crisis-maps … #Socialife http:// bit.ly/socialifeapp",,,#Socialife,642480032083013633,https://twitter.com/henson40/status/642480032083013633
2015-09-11 23:28:46,Frobozky,,0,0,0,"Will Europe help with the influx of Central & South American ' refugees ' to these United States?",,,,642479930144460801,https://twitter.com/Frobozky/status/642479930144460801
2015-09-11 23:28:44,BobStovall,,0,0,0,"Weekend Roundup: Refugees Redefine Europe : America was once regarded as a welcoming immigrant nation where rac... http:// huff.to/1iDrw3V",,,,642479921592307712,https://twitter.com/BobStovall/status/642479921592307712
2015-09-11 23:28:44,RSSFeedBot,,0,0,0,"Weekend Roundup: Refugees Redefine Europe http:// huff.to/1iDnZCX",,,,642479920677982208,https://twitter.com/RSSFeedBot/status/642479920677982208
2015-09-11 23:28:43,TechnologyEd1,,0,0,0,"Weekend Roundup: Refugees Redefine Europe : America was once regarded as a welcoming immigrant nation where rac... http:// huff.to/1iDnZCX",,,,642479916294930432,https://twitter.com/TechnologyEd1/status/642479916294930432
2015-09-11 23:28:42,ANN_AmNextNet,,0,0,1,"Weekend Roundup: Refugees Redefine Europe : America was once regarded as a welcoming immigrant nation whe... http:// huff.to/1OI6RWC #tech",,,#tech,642479914449408000,https://twitter.com/ANN_AmNextNet/status/642479914449408000
2015-09-11 23:28:40,us_news_update,,0,0,1,"#tech Weekend Roundup: Refugees Redefine Europe : America was once regarded as a welcoming immigrant nati... http:// twits.info.tm/OgF #news",,,#tech #news,642479904878034946,https://twitter.com/us_news_update/status/642479904878034946
2015-09-11 23:28:39,RAWFootageATL,,0,0,0,"Weekend Roundup: Refugees Redefine Europe : America was once regarded as a welcoming immigr... http:// huff.to/1iDrw3V via @HuffingtonPost",,@HuffingtonPost,,642479900134277120,https://twitter.com/RAWFootageATL/status/642479900134277120
2015-09-11 23:28:38,LeVarThomas,,0,0,0,"Weekend Roundup: Refugees Redefine Europe : America was once regarded as a welcoming immigr... http:// huff.to/1iDrw3V via @HuffingtonPost",,@HuffingtonPost,,642479896074125312,https://twitter.com/LeVarThomas/status/642479896074125312
